,职位名,详细链接,公司名,工作地点,薪资,发布时间
125,商务经理,https://jobs.51job.com/nanjing-yhtq/122416863.html?s=01&t=0,上海旷沃科技有限公司,南京-雨花台区,1.2-1.8万/月,07-10
126,银行业务BPO运营经理岗,https://jobs.51job.com/nanjing-jyq/123233323.html?s=01&t=0,深圳市紫金支点技术股份有限公司,南京-建邺区,1-1.5万/月,07-10
127,中级开发工程师（web）,https://jobs.51job.com/nanjing-pkq/111525361.html?s=01&t=0,航天壹进制（南京）数据科技有限公...,南京-浦口区,1-1.5万/月,07-10
128,大数据开发工程师,https://jobs.51job.com/nanjing/123398238.html?s=01&t=0,南京君度科技有限公司,南京,1-2万/月,07-10
129,新媒体运营经理,https://jobs.51job.com/nanjing/123138578.html?s=01&t=0,江苏猎宝网络科技股份有限公司,南京,1.5-3万/月,07-10
130,销售副总监,https://jobs.51job.com/nanjing-yhtq/119493470.html?s=01&t=0,江苏中协智能科技有限公司,南京-雨花台区,1.5-2万/月,07-10
131,商务助理,https://jobs.51job.com/nanjing-pkq/122720555.html?s=01&t=0,钛能科技股份有限公司,南京-浦口区,4-5千/月,07-10
132,某一百强公司招聘#产品运营#,https://jobs.51job.com/nanjing-yhtq/119946850.html?s=01&t=0,万宝盛华企业管理咨询（上海）有限...,南京-雨花台区,1-1.5万/月,07-10
133,项目管培生,https://jobs.51job.com/nanjing/122406489.html?s=01&t=0,速度时空信息科技股份有限公司,南京,4-6千/月,07-10
134,业务推广 google ads,https://jobs.51job.com/nanjing-pkq/121566102.html?s=01&t=0,焦点科技股份有限公司,南京-浦口区,0.7-1万/月,07-10
135,运营经理,https://jobs.51job.com/hefei-jkq/120561530.html?s=01&t=0,安徽九广全景智慧科技有限公司,异地招聘,7-9千/月,07-10
136,产品经理,https://jobs.51job.com/nanjing-yhtq/119415093.html?s=01&t=0,南京擎盾信息科技有限公司,南京-雨花台区,7-9千/月,07-10
137,软件工程师,https://jobs.51job.com/suzhou/123526308.html?s=01&t=0,旺宏微电子（苏州）有限公司,异地招聘,11-18万/年,07-10
138,数据挖掘工程师-工作地址 南京,https://jobs.51job.com/nanjing-yhtq/114590672.html?s=01&t=0,昆山炫生活信息技术股份有限公司,南京-雨花台区,1.5-2万/月,07-10
139,产品售前技术支持经理,https://jobs.51job.com/nanjing-yhtq/121764288.html?s=01&t=0,湖南晟医智能科技有限公司,南京-雨花台区,5-7千/月,07-10
140,运维实施工程师,https://jobs.51job.com/nanjing-jyq/123052160.html?s=01&t=0,南京星邺汇捷网络科技有限公司,南京-建邺区,5-7千/月,07-10
141,造价工程师（新能源电力工程方向）,https://jobs.51job.com/nanjing-pkq/122369474.html?s=01&t=0,南京誉泰瑞思科技有限公司,南京-浦口区,6-8千/月,07-10
142,系统架构师,https://jobs.51job.com/nanjing/120579934.html?s=01&t=0,南京奥拓电子科技有限公司,南京,2-3万/月,07-10
143,行业大客户经理（智慧环保化工）,https://jobs.51job.com/suzhou-gyyq/123516300.html?s=01&t=0,苏州中科先进技术研究院有限公司,异地招聘,0.5-1万/月,07-10
144,大数据开发工程师,https://jobs.51job.com/nanjing-qxq/123250231.html?s=01&t=0,辛巴网络科技（南京）有限公司,南京-栖霞区,1.5-2.5万/月,07-10
145,数据库开发工程师,https://jobs.51job.com/nanjing-yhtq/115122182.html?s=01&t=0,杭州讯赛电子科技有限公司,南京-雨花台区,0.8-1万/月,07-10
146,技术经理,https://jobs.51job.com/nanjing-jnq/121151951.html?s=01&t=0,南京粒聚智能科技有限公司,南京-江宁区,1.5-3万/月,07-10
147,需求分析师,https://jobs.51job.com/nanjing-pkq/119061223.html?s=01&t=0,中讯志远（武汉）科技有限公司,南京-浦口区,1-1.5万/月,07-10
148,业务运营（咪咕） (MJ002084),https://jobs.51job.com/nanjing/122521584.html?s=01&t=0,神州数码信息服务股份有限公司,南京,0.6-1万/月,07-10
149,数据开发工程师,https://jobs.51job.com/nanjing-yhtq/121961620.html?s=01&t=0,亚信科技（中国）有限公司,南京-雨花台区,1.2-2.2万/月,07-10
150,后端软件工程师,https://jobs.51job.com/nanjing/73761278.html?s=01&t=0,南京讯之智信息技术有限公司,南京,1-1.5万/月,07-10
151,数据架构专家（工业大脑）,https://jobs.51job.com/nanjing-jnq/123529551.html?s=01&t=0,浩鲸云计算科技股份有限公司,南京-江宁区,2-4万/月,07-10
152,运营策划,https://jobs.51job.com/nanjing-yhtq/123517824.html?s=01&t=0,南京迈特望科技股份有限公司,南京-雨花台区,0.6-1万/月,07-10
153,游戏运营总监,https://jobs.51job.com/nanjing/123504374.html?s=01&t=0,南京世赢乾网络科技有限公司,南京,1.5-2万/月,07-10
154,二类电商运营,https://jobs.51job.com/nanjing-yhtq/122832377.html?s=01&t=0,南京粲斯科技有限公司,南京-雨花台区,0.8-1万/月,07-10
155,市场推广专员,https://jobs.51job.com/nanjing-yhtq/122309597.html?s=01&t=0,南京泰立瑞信息科技有限公司,南京-雨花台区,0.5-1万/月,07-10
156,新媒体编辑,https://jobs.51job.com/nanjing-qxq/118579236.html?s=01&t=0,南京莱科智能工程研究院有限公司,南京-栖霞区,4-6千/月,07-10
157,售前咨询顾问,https://jobs.51job.com/nanjing/99168313.html?s=01&t=0,远光软件股份有限公司江苏分公司,南京,10-15万/年,07-10
158,大数据开发工程师,https://jobs.51job.com/nanjing-yhtq/123466226.html?s=01&t=0,南京百牛科技有限公司,南京-雨花台区,0.8-1.6万/月,07-10
159,互联网产品经理,https://jobs.51job.com/nanjing/123224675.html?s=01&t=0,南京大本营电子科技有限公司,南京,1-1.5万/月,07-10
160,硬件产品经理,https://jobs.51job.com/nanjing-jnq/122934883.html?s=01&t=0,南京机器岛智能科技有限公司,南京-江宁区,1.5-2万/月,07-10
161,高级前端开发工程师,https://jobs.51job.com/nanjing-pkq/122841875.html?s=01&t=0,江苏通付盾数字化技术有限公司,南京-浦口区,1.2-2.4万/月,07-09
162,实习生,https://jobs.51job.com/nanjing-jyq/119361229.html?s=01&t=0,南京城望投资管理有限公司,南京-建邺区,2-5千/月,07-09
163,Linux嵌入式软件工程师,https://jobs.51job.com/nanjing-qxq/122034164.html?s=01&t=0,南京图菱视频科技有限公司,南京-栖霞区,1.5-2.5万/月,07-09
164,农产品电商品牌运营总监,https://jobs.51job.com/nanjing-jnq/121152279.html?s=01&t=0,江苏叁拾叁信息技术有限公司,南京-江宁区,1.5-2万/月,07-09
165,产品经理（偏商务、产品售前）,https://jobs.51job.com/nanjing/80902824.html?s=01&t=0,南京紫米网络科技有限公司,南京,0.9-1.2万/月,07-09
166,数据服务工程师,https://jobs.51job.com/nanjing-qxq/113942628.html?s=01&t=0,江苏达科云数据科技有限公司,南京-栖霞区,1.5-2.5万/月,07-09
167,实时音视频性能测试工程师,https://jobs.51job.com/nanjing-yhtq/121449180.html?s=01&t=0,江苏怀业信息技术股份有限公司,南京-雨花台区,0.6-1.2万/月,07-09
168,软件销售经理（底薪12k-15k）,https://jobs.51job.com/nanjing-yhtq/122786061.html?s=01&t=0,南京万米信息技术有限公司,南京-雨花台区,1.5-2万/月,07-09
169,数据库/数据仓库/BI开发工程师,https://jobs.51job.com/nanjing/109616999.html?s=01&t=0,迪爱斯信息技术股份有限公司,南京,0.6-1.5万/月,07-09
170,新媒体运营专员,https://jobs.51job.com/nanjing-jnq/110873029.html?s=01&t=0,上海商鼎软件科技有限公司,南京-江宁区,4-8千/月,07-09
171,帆软报表开发工程师,https://jobs.51job.com/nanjing-jyq/122738226.html?s=01&t=0,南京创致优信息科技有限公司,南京-建邺区,0.8-1.5万/月,07-09
172,解决方案工程师,https://jobs.51job.com/nanjing/122347085.html?s=01&t=0,南京科融数据系统股份有限公司,南京,1.5-2.5万/月,07-09
173,大数据研发工程师-暑期提前批,https://jobs.51job.com/nanjing-yhtq/120510425.html?s=01&t=0,趋势科技（中国）有限公司,南京-雨花台区,1.5-2.5万/月,07-09
174,生物信息医学顾问,https://jobs.51job.com/nanjing-yhtq/118971696.html?s=01&t=0,南京梦宇三维技术有限公司,南京-雨花台区,1.2-2万/月,07-09
175,活动策划,https://jobs.51job.com/nanjing-jnq/122954083.html?s=01&t=0,南京丹书科技有限公司,南京-江宁区,4.5-6千/月,07-09
176,网络运维工程师,https://jobs.51job.com/nanjing-jnq/117558858.html?s=01&t=0,杭州远传新业科技有限公司,南京-江宁区,1-1.5万/月,07-09
177,算法工程师（HZ20031）,https://jobs.51job.com/nanjing/119961306.html?s=01&t=0,鼎捷软件股份有限公司（原神州数码...,南京,1.2-2.5万/月,07-09
178,销售助理,https://jobs.51job.com/nanjing-jyq/120502696.html?s=01&t=0,南京和电科技有限公司,南京-建邺区,5-6.5千/月,07-09
179,咨询助理（信息化方向）,https://jobs.51job.com/nanjing-yhtq/120561343.html?s=01&t=0,江苏智库智能科技有限公司,南京-雨花台区,6-8千/月,07-09
180,海外推广专员,https://jobs.51job.com/nanjing-xwq/123146586.html?s=01&t=0,南京沃旭通讯科技有限公司,南京-玄武区,6-9千/月,07-09
181,大数据架构师,https://jobs.51job.com/nanjing-yhtq/121077689.html?s=01&t=0,深圳市一应科技有限公司,南京-雨花台区,1.8-2.6万/月,07-08
182,运维工程师,https://jobs.51job.com/nanjing-jyq/121881141.html?s=01&t=0,江苏慧禾融智信息技术有限公司,南京-建邺区,1-1.2万/月,07-08
183,市场经理/市场主管,https://jobs.51job.com/nanjing-yhtq/112964544.html?s=01&t=0,南京品德科技有限责任公司,南京-雨花台区,5-8千/月,07-08
184,知识图谱研发工程师,https://jobs.51job.com/nanjing/121433953.html?s=01&t=0,南京创联智软信息科技有限公司,南京,1-1.5万/月,07-08
185,助理产品工程师,https://jobs.51job.com/zhenjiang/122370338.html?s=01&t=0,镇江苏仪德科技有限公司,异地招聘,4-4.8千/月,07-08
186,平台运营专员,https://jobs.51job.com/nanjing-jyq/121255430.html?s=01&t=0,南京爱福路汽车科技有限公司,南京-建邺区,0.8-1万/月,07-08
187,平台运营专员,https://jobs.51job.com/nanjing-pkq/120494985.html?s=01&t=0,南京鸿越科技有限公司,南京-浦口区,0.8-1万/月,07-08
188,数据开发工程师（环保事业部）,https://jobs.51job.com/nanjing-glq/109844590.html?s=01&t=0,南京瀚和软件技术有限公司,南京-鼓楼区,1-1.5万/月,07-08
189,Java开发工程师,https://jobs.51job.com/nanjing-xwq/123182384.html?s=01&t=0,方正国际软件（北京）有限公司,南京-玄武区,1-1.5万/月,07-08
190,数据开发工程师,https://jobs.51job.com/nanjing-yhtq/122681631.html?s=01&t=0,佰聆数据股份有限公司,南京-雨花台区,0.8-1.2万/月,07-08
191,数据分析师,https://jobs.51job.com/nanjing-pkq/123185218.html?s=01&t=0,南京拾柴信息科技有限公司,南京-浦口区,5-8千/月,07-10
192,大数据分析工程师,https://jobs.51job.com/nanjing-pkq/123184506.html?s=01&t=0,南京拾柴信息科技有限公司,南京-浦口区,0.6-1万/月,07-10
193,大数据分析工程师,https://jobs.51job.com/nanjing-pkq/118395490.html?s=01&t=0,南京拾柴信息科技有限公司,南京-浦口区,0.6-1万/月,07-10
194,临床数据分析（医学专员）,https://jobs.51job.com/nanjing-qhq/122077052.html?s=01&t=0,南京医格尔信息科技有限公司,南京-秦淮区,0.6-1万/月,07-10
195,高级数据分析员（股债基）(DC0001),https://jobs.51job.com/nanjing-jyq/74834870.html?s=01&t=0,万得信息技术股份有限公司（Wind资...,南京-建邺区,4.5-6千/月,07-10
196,数据分析员（财会）(DM0001),https://jobs.51job.com/nanjing-jyq/74834468.html?s=01&t=0,万得信息技术股份有限公司（Wind资...,南京-建邺区,4.5-6千/月,07-10
197,数据分析员（金融）(DG0001),https://jobs.51job.com/nanjing-jyq/74834659.html?s=01&t=0,万得信息技术股份有限公司（Wind资...,南京-建邺区,4.5-6千/月,07-10
198,数据分析员（经济）(DF0001),https://jobs.51job.com/nanjing-jyq/74834576.html?s=01&t=0,万得信息技术股份有限公司（Wind资...,南京-建邺区,4.5-6千/月,07-10
199,数据分析,https://jobs.51job.com/nanjing-glq/119232024.html?s=01&t=0,江苏庭深网络科技有限公司,南京-鼓楼区,4.5-6千/月,07-09
200,阿里巴巴国际站运营,https://jobs.51job.com/nanjing-pkq/102219774.html?s=01&t=0,阿里巴巴国际站（江北）LBS服务中...,南京-浦口区,4-8千/月,07-10
201,产品经理,https://jobs.51job.com/nanjing-yhtq/116527070.html?s=01&t=0,南京东奇乐游科技有限公司,南京-雨花台区,5-8千/月,07-10
202,线上运营(J16919),https://jobs.51job.com/nanjing-xwq/122690424.html?s=01&t=0,南京华铖亿宏科技有限责任公司,南京-玄武区,0.8-1万/月,07-10
203,网络销售（证券）(J16918),https://jobs.51job.com/nanjing-xwq/122690297.html?s=01&t=0,南京华铖亿宏科技有限责任公司,南京-玄武区,0.8-1万/月,07-10
204,数据运营,https://jobs.51job.com/nanjing/122777550.html?s=01&t=0,字节跳动,南京,0.7-1.5万/月,07-10
205,精准营销项目经理,https://jobs.51job.com/nanjing-pkq/123455117.html?s=01&t=0,南京拾柴信息科技有限公司,南京-浦口区,0.6-1万/月,07-10
206,技术工程师,https://jobs.51job.com/nanjing-jyq/114507876.html?s=01&t=0,南京拾柴信息科技有限公司,南京-建邺区,4-6千/月,07-10
207,标书专员,https://jobs.51job.com/nanjing-jnq/123486490.html?s=01&t=0,南京优玛软件科技有限公司,南京-江宁区,4.5-6千/月,07-10
208,销售运营,https://jobs.51job.com/nanjing/120319498.html?s=01&t=0,字节跳动,南京,0.9-1.6万/月,07-10
209,销售经理,https://jobs.51job.com/nanjing/115378467.html?s=01&t=0,字节跳动,南京,1.5-3万/月,07-10
210,信息流广告优化总监,https://jobs.51job.com/nanjing/121859915.html?s=01&t=0,字节跳动,南京,2-3万/月,07-10
211,课程顾问,https://jobs.51job.com/nanjing-jyq/118826715.html?s=01&t=0,南通科迅教育信息咨询有限公司,南京-建邺区,0.6-1.5万/月,07-10
212,人事专员  社保  包住4k+,https://jobs.51job.com/nanjing-jyq/120914021.html?s=01&t=0,南京易创园科技有限公司,南京-建邺区,3-5千/月,07-10
213,信息流广告优化师,https://jobs.51job.com/nanjing/121839055.html?s=01&t=0,字节跳动,南京,0.8-1.6万/月,07-10
214,Java游戏开发实习生,https://jobs.51job.com/nanjing/105314934.html?s=01&t=0,昆山双宇新信息科技有限公司,南京,6-8千/月,07-10
215,内容运营,https://jobs.51job.com/nanjing/122361577.html?s=01&t=0,多伦科技股份有限公司,南京,0.7-1.2万/月,07-10
216,用户运营经理,https://jobs.51job.com/nanjing/122361324.html?s=01&t=0,多伦科技股份有限公司,南京,0.8-1.5万/月,07-10
217,GIS底层开发（驾驶安全）,https://jobs.51job.com/nanjing/121197973.html?s=01&t=0,多伦科技股份有限公司,南京,2-2.5万/月,07-10
218,大数据开发工程师,https://jobs.51job.com/nanjing/121000251.html?s=01&t=0,多伦科技股份有限公司,南京,1.5-2万/月,07-10
219,广告算法工程师,https://jobs.51job.com/nanjing/109519639.html?s=01&t=0,字节跳动,南京,2-3万/月,07-10
220,产品运营助理  带薪培训  3.5k+,https://jobs.51job.com/nanjing-jyq/122807540.html?s=01&t=0,南京易创园科技有限公司,南京-建邺区,3.2-5千/月,07-10
221,运营实习生  带薪培训  社保,https://jobs.51job.com/nanjing-jyq/121132003.html?s=01&t=0,南京易创园科技有限公司,南京-建邺区,3-5千/月,07-10
222,数据维护工程师,https://jobs.51job.com/nanjing/122482460.html?s=01&t=0,南京博纳睿通软件科技有限公司,南京,4-6千/月,07-10
223,区域校长,https://jobs.51job.com/nanjing-jnq/122736850.html?s=01&t=0,南京鼓楼心田花开教育培训中心有限...,南京-江宁区,2-4万/月,07-10
224,内容运营编辑（技术）,https://jobs.51job.com/nanjing-jnq/121225012.html?s=01&t=0,南京优速网络科技有限公司,南京-江宁区,1-2万/月,07-10
225,运营专员,https://jobs.51job.com/nanjing-jnq/121224921.html?s=01&t=0,南京优速网络科技有限公司,南京-江宁区,0.8-1.2万/月,07-10
226,商务经理,https://jobs.51job.com/nanjing-jnq/119431691.html?s=01&t=0,南京优速网络科技有限公司,南京-江宁区,0.8-1.5万/月,07-10
227,Amazon亚马逊运营主管,https://jobs.51job.com/nanjing-jyq/110161559.html?s=01&t=0,南京达尚英信息科技有限公司,南京-建邺区,1-1.2万/月,07-10
228,IT技术支持（住宿）(J16856),https://jobs.51job.com/nanjing-xwq/122436111.html?s=01&t=0,南京华铖亿宏科技有限责任公司,南京-玄武区,4.5-6千/月,07-10
229,市场分析专员,https://jobs.51job.com/nanjing-qhq/109863842.html?s=01&t=0,南京易联阳光信息技术股份有限公司...,南京-秦淮区,4-8千/月,07-10
230,市场部高级分析师,https://jobs.51job.com/nanjing-qhq/98394242.html?s=01&t=0,南京易联阳光信息技术股份有限公司...,南京-秦淮区,6-8千/月,07-10
231,医药数据项目专员（主管）,https://jobs.51job.com/nanjing-qhq/85411325.html?s=01&t=0,南京易联阳光信息技术股份有限公司...,南京-秦淮区,4-8千/月,07-10
232,网管高级开发工程师（JAVA）,https://jobs.51job.com/nanjing-jyq/121451003.html?s=01&t=0,华邦（江苏）文化科技发展有限公司...,南京-建邺区,1.2-2万/月,07-10
233,方案人员,https://jobs.51job.com/nanjing-xwq/121754070.html?s=01&t=0,南京瑞沃软件有限公司,南京-玄武区,0.5-1.1万/月,07-10
234,运营专员,https://jobs.51job.com/nanjing-jnq/106859354.html?s=01&t=0,南京舜卓信息技术有限公司,南京-江宁区,4-8千/月,07-10
235,互联网教育教学产品经理,https://jobs.51job.com/nanjing-jnq/123136496.html?s=01&t=0,江苏金智教育信息股份有限公司,南京-江宁区,1.5-2.5万/月,07-10
236,大数据产品经理,https://jobs.51job.com/nanjing-jnq/123136232.html?s=01&t=0,江苏金智教育信息股份有限公司,南京-江宁区,1.5-2.5万/月,07-10
237,商务采购专员,https://jobs.51job.com/nanjing-pkq/118690356.html?s=01&t=0,江苏金智教育信息股份有限公司,南京-浦口区,4.5-6千/月,07-10
238,电商运营主管,https://jobs.51job.com/nanjing-pkq/107100313.html?s=01&t=0,阿里巴巴国际站（江北）LBS服务中...,南京-浦口区,6-8千/月,07-10
239,数据库工程师,https://jobs.51job.com/nanjing-qxq/107797814.html?s=01&t=0,上海美慧软件有限公司,南京-栖霞区,0.9-1.1万/月,07-10
240,高级产品经理（财税） (MJ000671),https://jobs.51job.com/nanjing-yhtq/121582788.html?s=01&t=0,南京云帐房网络科技有限公司,南京-雨花台区,1.5-3.5万/月,07-10
241,运营经理 (金融),https://jobs.51job.com/nanjing-yhtq/121582070.html?s=01&t=0,南京云帐房网络科技有限公司,南京-雨花台区,1-1.8万/月,07-10
242,产品运营 (to B),https://jobs.51job.com/nanjing-yhtq/123163701.html?s=01&t=0,南京云帐房网络科技有限公司,南京-雨花台区,1.5-2.5万/月,07-10
243,SEM经理 (MJ000886),https://jobs.51job.com/nanjing-yhtq/123110493.html?s=01&t=0,南京云帐房网络科技有限公司,南京-雨花台区,1.2-2.2万/月,07-10
244,大数据产品销售总监,https://jobs.51job.com/nanjing-yhtq/120032286.html?s=01&t=0,北京会畅教育科技有限公司,南京-雨花台区,0.9-1.5万/月,07-10
245,产品经理助理,https://jobs.51job.com/nanjing-jyq/119970248.html?s=01&t=0,北京会畅教育科技有限公司,南京-建邺区,0.9-1.5万/月,07-10
246,高级产品经理,https://jobs.51job.com/nanjing-pkq/106645449.html?s=01&t=0,南京安元科技有限公司,南京-浦口区,2-3万/月,07-10
247,活动策划,https://jobs.51job.com/dalian-zsq/116420167.html?s=01&t=0,广州华钧软件科技有限公司,异地招聘,1.2-2万/月,07-10
248,seo优化,https://jobs.51job.com/dalian-zsq/116420102.html?s=01&t=0,广州华钧软件科技有限公司,异地招聘,1.2-2万/月,07-10
249,数值策划,https://jobs.51job.com/dalian-zsq/116420056.html?s=01&t=0,广州华钧软件科技有限公司,异地招聘,1.8-2.8万/月,07-10
