date,confirm,dead,heal,newAddConfirm,deadRate,healRate
01.28,57,0,3,19,0.00,5.26
01.29,74,0,3,12,0.00,4.05
01.30,98,0,6,14,0.00,6.12
01.31,124,0,11,24,0.00,8.87
02.01,139,0,11,26,0.00,7.91
02.02,149,1,11,14,0.67,7.38
02.03,154,1,12,7,0.65,7.79
02.04,177,1,19,6,0.56,10.73
02.05,201,1,21,32,0.50,10.45
02.06,225,1,25,25,0.44,11.11
02.07,273,1,27,54,0.37,9.89
02.08,299,1,29,18,0.33,9.70
02.09,313,1,30,19,0.32,9.58
02.10,385,1,36,12,0.26,9.35
02.11,397,1,44,76,0.25,11.08
02.12,444,1,50,46,0.23,11.26
02.13,505,2,56,6,0.40,11.09
02.14,516,2,59,58,0.39,11.43
02.15,601,3,61,21,0.50,10.15
02.16,687,3,84,157,0.44,12.23
02.17,800,3,88,111,0.38,11.00
02.18,904,3,114,10,0.33,12.61
02.19,1018,3,127,120,0.29,12.48
02.20,1096,8,127,149,0.73,11.59
02.21,1231,11,142,127,0.89,11.54
02.22,1528,14,154,182,0.92,10.08
02.23,1895,22,155,386,1.16,8.18
02.24,2286,32,173,300,1.40,7.57
02.25,2575,40,192,365,1.55,7.46
02.26,3085,51,220,459,1.65,7.13
02.27,3945,64,310,736,1.62,7.86
02.28,4947,80,360,1030,1.62,7.28
02.29,6305,95,455,1309,1.51,7.22
03.01,7342,112,1020,1161,1.53,13.89
03.02,9628,152,558,1589,1.58,5.80
03.03,12047,184,895,1800,1.53,7.43
03.04,13897,236,909,2078,1.70,6.54
03.05,16234,296,1087,4166,1.82,6.70
03.06,19488,366,1566,2743,1.88,8.04
03.07,23013,452,1730,3641,1.96,7.52
03.08,26959,561,3208,3706,2.08,11.90
03.09,30814,766,3614,4063,2.49,11.73
03.10,35796,977,4212,3972,2.73,11.77
03.11,41212,1232,5274,4596,2.99,12.80
03.12,48743,1577,5779,6702,3.24,11.86
03.13,58493,1944,6544,7485,3.32,11.19
03.14,67414,2354,7947,9747,3.49,11.79
03.15,79582,2765,9304,11511,3.47,11.69
03.16,92523,3473,10447,14579,3.75,11.29
03.17,106190,4276,11680,11714,4.03,11.00
03.18,122946,4988,13496,15084,4.06,10.98
03.19,147281,6078,15402,17886,4.13,10.46
03.20,169551,6952,17687,24119,4.10,10.43
03.21,195941,8087,20216,28260,4.13,10.32
03.22,235102,10391,23721,32658,4.42,10.09
03.23,270017,12125,26708,32677,4.49,9.89
03.24,313330,14001,29295,39642,4.47,9.35
03.25,355599,16391,35306,40603,4.61,9.93
03.26,407265,18872,41192,49092,4.63,10.11
03.27,465884,21829,50267,46354,4.69,10.79
03.28,536355,25279,59191,62362,4.71,11.04
03.29,598686,28682,67858,63031,4.79,11.33
03.30,658696,31868,78275,58305,4.84,11.88
03.31,662138,32395,79048,57402,4.89,11.94
04.02,662453,32406,79648,72699,4.89,12.02
04.03,662459,32407,79648,75745,4.89,12.02
04.05,662770,32408,79654,81932,4.89,12.02
04.13,665615,32472,79757,76274,4.88,11.98
04.14,666039,32472,79757,71674,4.88,11.97
04.15,666450,32486,79757,70013,4.87,11.97
04.16,1163393,60975,127673,76544,5.24,10.97
04.17,1282444,75566,139690,82546,5.89,10.89
04.18,1317007,79328,143970,85647,6.02,10.93
04.19,1345517,81336,150301,81132,6.04,11.17
04.20,1370721,82943,154458,72810,6.05,11.27
04.21,1399071,84699,156980,82993,6.05,11.22
04.22,1436399,87394,159129,73883,6.08,11.08
04.23,1454132,89100,160511,73642,6.13,11.04
04.24,1481436,92307,164384,81520,6.23,11.10
04.25,1555453,96625,197589,93702,6.21,12.70
04.26,1589985,98586,204283,84886,6.20,12.85
04.27,1615942,99493,205520,85527,6.16,12.72
04.28,1642302,101105,211138,76020,6.16,12.86
04.29,1667678,103165,215557,66254,6.19,12.93
04.30,1696211,105828,223928,71835,6.24,13.20
05.01,1902083,125144,376856,84759,6.58,19.81
05.02,1944018,128154,392721,91974,6.59,20.20
05.03,1973762,129845,404476,82758,6.58,20.49
05.04,2003844,131327,414821,86101,6.55,20.70
05.05,2030817,132835,427670,81450,6.54,21.06
05.06,2055615,135185,440269,71461,6.58,21.42
05.07,2084195,137957,457265,83462,6.62,21.94
05.08,2116899,140299,466094,87723,6.63,22.02
05.09,2149323,142215,476936,95844,6.62,22.19
05.10,2177513,143816,510190,61564,6.60,23.43
05.11,2199722,144709,517700,88871,6.58,23.53
05.12,2221398,145840,524996,82590,6.57,23.63
05.13,2245577,147646,562141,81570,6.57,25.03
05.14,2268864,149602,578411,77959,6.59,25.49
05.15,2297660,151534,589432,90264,6.60,25.65
05.16,2326073,153267,601643,86818,6.59,25.87
05.17,2351699,154977,616410,100006,6.59,26.21
05.18,2372804,155929,627259,93314,6.57,26.44
05.19,2395903,156991,638266,112631,6.55,26.64
05.20,2416807,158612,643063,57799,6.56,26.61
05.21,2439668,160125,651959,103979,6.56,26.72
05.22,2468435,161595,664052,100271,6.55,26.90
05.23,2494304,163576,715480,109534,6.56,28.68
05.24,2516619,164662,728797,101499,6.54,28.96
05.25,2536709,165353,733585,100253,6.52,28.92
05.26,2556499,165858,746553,99773,6.49,29.20
05.27,2576035,164990,761852,84313,6.40,29.57
05.28,2597073,166526,772013,104502,6.41,29.73
05.29,2620868,167750,792596,107740,6.40,30.24
05.30,2646595,168964,801452,116030,6.38,30.28
05.31,2670549,169983,817121,117546,6.37,30.60
06.01,2691100,170623,881750,122899,6.34,32.77
06.02,2713462,171353,897299,113189,6.31,33.07
06.03,2735638,172487,927857,93241,6.31,33.92
06.04,2756610,173571,970553,129280,6.30,35.21
06.05,2779212,174607,994135,118515,6.28,35.77
06.06,2821187,175825,1020529,127944,6.23,36.17
06.07,2844355,176532,1033578,136400,6.21,36.34
06.08,2863500,176906,1043591,131291,6.18,36.44
06.09,2882711,177492,1055363,108914,6.16,36.61
06.10,2902016,178585,1070745,105618,6.15,36.90
06.11,2923182,179567,1090377,128408,6.14,37.30
06.12,2946909,180471,1097969,136565,6.12,37.26
06.13,2974632,181262,1123817,142660,6.09,37.78
06.14,3000330,181964,1141795,137468,6.06,38.06
06.15,3020657,182295,1151933,132532,6.03,38.14
06.16,3041560,182720,1171749,118457,6.01,38.52
06.17,3067229,183569,1184924,119715,5.98,38.63
06.18,3094911,184378,1201935,181196,5.96,38.84
06.19,3123420,185125,1212877,142414,5.93,38.83
06.20,3157266,187023,1237944,138950,5.92,39.21
06.21,3191017,187603,1254824,182993,5.88,39.32
06.22,3217430,187871,1262238,152302,5.84,39.23
06.23,3249158,188235,1284812,133274,5.79,39.54
06.24,3285421,189099,1302264,135184,5.76,39.64
06.25,3324858,189909,1322488,167035,5.71,39.78
06.26,3366575,192411,1334176,176983,5.72,39.63
06.27,3415362,193279,1350586,179292,5.66,39.54
06.28,3459507,193794,1363320,189059,5.60,39.41
06.29,3500348,194081,1375339,178314,5.54,39.29
06.30,3545282,195005,1399060,163842,5.50,39.46
07.01,3591625,195778,1425217,163934,5.45,39.68
07.02,3644113,196462,1446563,176071,5.39,39.70
07.03,3700288,197154,1472974,175708,5.33,39.81
07.04,3755634,197787,1517371,212317,5.27,40.40
07.05,3800816,198004,1542288,203817,5.21,40.58
07.06,3847974,198255,1571447,202531,5.15,40.84
07.07,3907123,198668,1606830,172487,5.08,41.13
07.08,3963715,199665,1636746,168936,5.04,41.29
07.09,4025946,200559,1674562,204934,4.98,41.59
07.10,4087556,201524,1708311,228056,4.93,41.79
07.11,4160195,202375,1742378,219941,4.86,41.88
07.12,4224055,203106,1771303,230335,4.81,41.93
07.13,4282404,203486,1798967,0,4.75,42.01
